site,period,initial_bleaching,final_bleaching,response_magnitude,recovery_achieved,recovery_proportion,persistence_rate,worsening_achieved,recovery_category,response_direction,recovery_efficiency
Sprat Hole,2023_to_2024_PBL,33.33333333333333,13.333333333333334,-19.999999999999993,19.999999999999993,0.5999999999999999,13.333333333333334,0,Moderate Recovery,Moderate Recovery,Low Efficiency
St James,2023_to_2024_PBL,32.916666666666664,0,-32.916666666666664,32.916666666666664,1,0,0,Strong Recovery,Moderate Recovery,High Efficiency
Black Point,2024_to_2025_PBL,61.34920634920635,9.166666666666666,-52.182539682539684,52.182539682539684,0.8505821474773609,9.166666666666666,0,Exceptional Recovery,Strong Recovery,Moderate Efficiency
Botany Bay,2024_to_2025_PBL,53.61904761904762,21,-32.61904761904762,32.61904761904762,0.6083481349911191,21,0,Strong Recovery,Moderate Recovery,Low Efficiency
Brewers Bay,2024_to_2025_PBL,16.666666666666664,16.666666666666668,3.552713678800501e-15,0,0,16.666666666666664,3.552713678800501e-15,No Recovery,Stable,No Recovery
Buck Island STT,2024_to_2025_PBL,33.84285714285715,16.666666666666664,-17.176190476190484,17.176190476190484,0.5075277895033068,16.666666666666664,0,Moderate Recovery,Moderate Recovery,Low Efficiency
Buck Island STX,2024_to_2025_PBL,1.6666666666666667,0,-1.6666666666666667,1.6666666666666667,1,0,0,Minimal Recovery,Moderate Recovery,High Efficiency
Buck Island STX Deep,2024_to_2025_PBL,0.8333333333333334,0,-0.8333333333333334,0.8333333333333334,1,0,0,Minimal Recovery,Moderate Recovery,High Efficiency
Cane Bay,2024_to_2025_PBL,47.291666666666664,2.5,-44.791666666666664,44.791666666666664,0.947136563876652,2.5,0,Exceptional Recovery,Strong Recovery,Moderate Efficiency
Cane Bay Deep,2024_to_2025_PBL,0,0,0,0,0,0,0,No Recovery,Stable,No Recovery
Castle,2024_to_2025_PBL,28.333333333333336,0,-28.333333333333336,28.333333333333336,1,0,0,Moderate Recovery,Moderate Recovery,High Efficiency
Coculus Rock,2024_to_2025_PBL,65.46296296296296,27.79545454545455,-37.667508417508415,37.667508417508415,0.5754018258968754,27.79545454545455,0,Strong Recovery,Strong Recovery,Low Efficiency
College Shoal East,2024_to_2025_PBL,0,8.333333333333332,8.333333333333332,0,0,0,8.333333333333332,No Recovery,Strong Worsening,No Recovery
Coral Bay,2024_to_2025_PBL,27.5,6.166666666666667,-21.333333333333332,21.333333333333332,0.7757575757575758,6.166666666666667,0,Moderate Recovery,Moderate Recovery,Moderate Efficiency
Eagle Ray,2024_to_2025_PBL,33.33333333333333,0,-33.33333333333333,33.33333333333333,1,0,0,Strong Recovery,Moderate Recovery,High Efficiency
Fish Bay,2024_to_2025_PBL,31.666666666666664,0,-31.666666666666664,31.666666666666664,1,0,0,Strong Recovery,Moderate Recovery,High Efficiency
Flat Cay,2024_to_2025_PBL,38.1936239408044,43.333333333333336,5.139709392528935,0,0,38.1936239408044,5.139709392528935,No Recovery,Strong Worsening,No Recovery
Grammanik Tiger FSA,2024_to_2025_PBL,0.5,0.27777777777777835,-0.22222222222222165,0.22222222222222165,0.4444444444444433,0.27777777777777835,0,Minimal Recovery,Moderate Recovery,Low Efficiency
Great Pond,2024_to_2025_PBL,81.41666666666667,0,-81.41666666666667,81.41666666666667,1,0,0,Exceptional Recovery,Strong Recovery,High Efficiency
Hind Bank East FSA,2024_to_2025_PBL,1,2.166666666666667,1.166666666666667,0,0,1,1.166666666666667,No Recovery,Stable,No Recovery
Jacks Bay,2024_to_2025_PBL,20.833333333333336,20.833333333333336,0,0,0,20.833333333333336,0,No Recovery,Stable,No Recovery
Kings Corner,2024_to_2025_PBL,32.5,0,-32.5,32.5,1,0,0,Strong Recovery,Moderate Recovery,High Efficiency
Lang Bank EEMP,2024_to_2025_PBL,33.33333333333333,17.5,-15.833333333333329,15.833333333333329,0.4749999999999999,17.5,0,Moderate Recovery,Moderate Recovery,Low Efficiency
Lang Bank Red Hind FSA,2024_to_2025_PBL,0,0,0,0,0,0,0,No Recovery,Stable,No Recovery
Magens Bay,2024_to_2025_PBL,60.63333333333333,8.208333333333334,-52.425,52.425,0.8646234194612424,8.208333333333334,0,Exceptional Recovery,Strong Recovery,Moderate Efficiency
Meri Shoal,2024_to_2025_PBL,10,5.833333333333334,-4.166666666666666,4.166666666666666,0.41666666666666663,5.833333333333334,0,Minimal Recovery,Moderate Recovery,Low Efficiency
Mutton Snapper FSA,2024_to_2025_PBL,16.666666666666664,0,-16.666666666666664,16.666666666666664,1,0,0,Moderate Recovery,Moderate Recovery,High Efficiency
Salt River Deep,2024_to_2025_PBL,13,4,-9,9,0.6923076923076923,4,0,Minimal Recovery,Moderate Recovery,Low Efficiency
Salt River West,2024_to_2025_PBL,47.5,0,-47.5,47.5,1,0,0,Exceptional Recovery,Strong Recovery,High Efficiency
Savana,2024_to_2025_PBL,42.33149509803922,0,-42.33149509803922,42.33149509803922,1,0,0,Exceptional Recovery,Strong Recovery,High Efficiency
Seahorse Cottage Shoal,2024_to_2025_PBL,40.35218253968253,2.5,-37.85218253968253,37.85218253968253,0.9380454824830977,2.5,0,Strong Recovery,Strong Recovery,Moderate Efficiency
South Capella,2024_to_2025_PBL,3.3333333333333335,2.5,-0.8333333333333335,0.8333333333333335,0.25000000000000006,2.5,0,Minimal Recovery,Moderate Recovery,Low Efficiency
South Water,2024_to_2025_PBL,15.888888888888882,0.3333333333333333,-15.555555555555548,15.555555555555548,0.979020979020979,0.3333333333333333,0,Moderate Recovery,Moderate Recovery,Moderate Efficiency
Sprat Hole,2024_to_2025_PBL,64.16666666666667,0,-64.16666666666667,64.16666666666667,1,0,0,Exceptional Recovery,Strong Recovery,High Efficiency
St James,2024_to_2025_PBL,0,0,0,0,0,0,0,No Recovery,Stable,No Recovery
